TestName,SchemaName,EncryptionAlgo,TestSize,DatabaseSize,Time
RunDeletes,EncryptedWithEnclaves,Deterministic,100,22339,8.7203223
RunDeletes,Encrypted,Deterministic,100,22339,8.9592803
RunDeletes,NotEncrypted,Deterministic,100,22339,8.2275458
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,22339,146.8167397
FindWhereDOB,Encrypted,Deterministic,0,22339,151.5279576
FindWhereDOB,NotEncrypted,Deterministic,0,22339,0.1267809
RunCreates,EncryptedWithEnclaves,Deterministic,100,26503,3.7880815
RunCreates,Encrypted,Deterministic,100,26503,3.796211
RunCreates,NotEncrypted,Deterministic,100,26503,3.810933
RunFinds,EncryptedWithEnclaves,Deterministic,100,26503,3.7893497
RunFinds,Encrypted,Deterministic,100,26503,4.1722707
RunFinds,NotEncrypted,Deterministic,100,26503,3.4786764
RunUpdates,EncryptedWithEnclaves,Deterministic,100,26503,3.722431
RunUpdates,Encrypted,Deterministic,100,26503,3.6701989
RunUpdates,NotEncrypted,Deterministic,100,26503,3.886301
RunDeletes,EncryptedWithEnclaves,Deterministic,100,26503,10.6084417
RunDeletes,Encrypted,Deterministic,100,26503,10.5053573
RunDeletes,NotEncrypted,Deterministic,100,26503,9.4603124
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,26503,243.0691132
FindWhereDOB,Encrypted,Deterministic,0,26503,284.9074512
FindWhereDOB,NotEncrypted,Deterministic,0,26503,0.0938195
RunCreates,EncryptedWithEnclaves,Deterministic,100,31247,3.6300083
RunCreates,Encrypted,Deterministic,100,31247,3.6633079
RunCreates,NotEncrypted,Deterministic,100,31247,3.6626975
RunFinds,EncryptedWithEnclaves,Deterministic,100,31247,4.0455106
RunFinds,Encrypted,Deterministic,100,31247,4.5693079
RunFinds,NotEncrypted,Deterministic,100,31247,4.2077664
RunUpdates,EncryptedWithEnclaves,Deterministic,100,31247,4.5478234
RunUpdates,Encrypted,Deterministic,100,31247,4.214784
RunUpdates,NotEncrypted,Deterministic,100,31247,4.2011711
RunDeletes,EncryptedWithEnclaves,Deterministic,100,31247,12.2509652
RunDeletes,Encrypted,Deterministic,100,31247,12.2222846
RunDeletes,NotEncrypted,Deterministic,100,31247,11.4227436
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,31247,440.9523611
FindWhereDOB,Encrypted,Deterministic,0,31247,431.9187672
FindWhereDOB,NotEncrypted,Deterministic,0,31247,0.081019
RunCreates,EncryptedWithEnclaves,Deterministic,100,33255,3.6835508
RunCreates,Encrypted,Deterministic,100,33255,3.64811
RunCreates,NotEncrypted,Deterministic,100,33255,3.8136439
RunFinds,EncryptedWithEnclaves,Deterministic,100,33255,4.5664704
RunFinds,Encrypted,Deterministic,100,33255,4.873357
RunFinds,NotEncrypted,Deterministic,100,33255,4.3296974
RunUpdates,EncryptedWithEnclaves,Deterministic,100,33255,4.4560351
RunUpdates,Encrypted,Deterministic,100,33255,4.4471816
RunUpdates,NotEncrypted,Deterministic,100,33255,4.3998577
RunDeletes,EncryptedWithEnclaves,Deterministic,100,33255,12.9606168
RunDeletes,Encrypted,Deterministic,100,33255,13.0945303
RunDeletes,NotEncrypted,Deterministic,100,33255,12.0161515
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,33255,587.5955235
FindWhereDOB,Encrypted,Deterministic,0,33255,575.2428201
FindWhereDOB,NotEncrypted,Deterministic,0,33255,0.0836216
RunCreates,EncryptedWithEnclaves,Deterministic,100,37485,3.8334384
RunCreates,Encrypted,Deterministic,100,37485,3.7769838
RunCreates,NotEncrypted,Deterministic,100,37485,3.6845773
RunFinds,EncryptedWithEnclaves,Deterministic,100,37485,5.1864618
RunFinds,Encrypted,Deterministic,100,37485,5.4229846
RunFinds,NotEncrypted,Deterministic,100,37485,4.9206591
RunUpdates,EncryptedWithEnclaves,Deterministic,100,37485,5.1422421
RunUpdates,Encrypted,Deterministic,100,37485,4.9820398
RunUpdates,NotEncrypted,Deterministic,100,37485,5.0312606
RunDeletes,EncryptedWithEnclaves,Deterministic,100,37485,14.8595753
RunDeletes,Encrypted,Deterministic,100,37485,14.8432758
RunDeletes,NotEncrypted,Deterministic,100,37485,13.7103577
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,37485,831.1176971
FindWhereDOB,Encrypted,Deterministic,0,37485,830.5797525
FindWhereDOB,NotEncrypted,Deterministic,0,37485,0.0898026
RunCreates,EncryptedWithEnclaves,Deterministic,100,42784,4.0479035
RunCreates,Encrypted,Deterministic,100,42784,3.7797535
RunCreates,NotEncrypted,Deterministic,100,42784,3.8054813
RunFinds,EncryptedWithEnclaves,Deterministic,100,42784,6.1389546
RunFinds,Encrypted,Deterministic,100,42784,5.7958156
RunFinds,NotEncrypted,Deterministic,100,42784,5.6229138
RunUpdates,EncryptedWithEnclaves,Deterministic,100,42784,6.492129
RunUpdates,Encrypted,Deterministic,100,42784,5.7239296
RunUpdates,NotEncrypted,Deterministic,100,42784,5.5491982
RunDeletes,EncryptedWithEnclaves,Deterministic,100,42784,16.7281198
RunDeletes,Encrypted,Deterministic,100,42784,16.6765447
RunDeletes,NotEncrypted,Deterministic,100,42784,15.2989208
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,42784,1257.2708402
FindWhereDOB,Encrypted,Deterministic,0,42784,1220.345975
FindWhereDOB,NotEncrypted,Deterministic,0,42784,0.1083029
RunCreates,EncryptedWithEnclaves,Deterministic,100,44804,4.1503238
RunCreates,Encrypted,Deterministic,100,44804,4.0099014
RunCreates,NotEncrypted,Deterministic,100,44804,4.1381173
RunFinds,EncryptedWithEnclaves,Deterministic,100,44804,6.0979681
RunFinds,Encrypted,Deterministic,100,44804,6.153284
RunFinds,NotEncrypted,Deterministic,100,44804,5.8275896
RunUpdates,EncryptedWithEnclaves,Deterministic,100,44804,5.9546095
RunUpdates,Encrypted,Deterministic,100,44804,5.9041848
RunUpdates,NotEncrypted,Deterministic,100,44804,5.8454576
RunDeletes,EncryptedWithEnclaves,Deterministic,100,44804,17.6645246
RunDeletes,Encrypted,Deterministic,100,44804,17.5619401
RunDeletes,NotEncrypted,Deterministic,100,44804,16.1822524
FindWhereDOB,EncryptedWithEnclaves,Deterministic,0,44804,1840.0521665
FindWhereDOB,Encrypted,Deterministic,0,44804,1732.3307988
FindWhereDOB,NotEncrypted,Deterministic,0,44804,0.1292909
RunCreates,EncryptedWithEnclaves,Deterministic,100,48135,3.9884654
